B.TECH I SEMESTER ODD 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,"LA17,A18(CI111)-FF5/SHP","LA5,A6(EC101)-FF5/SMK",,"LA7,A8(EC101)-FF5/PRAB","LA5,A6(MA111)-CS2/NSK","LA1,A2(EC101)-FF5/VRN","LA5,A6(PH111)-FF5/NG",
,TA1(MA111)-TS6/LK,"LG1,G2(EC101)-FF9/SMK","LA17,A18(PH111)-FF4/SDC",,,,"LA10,B14(EC101)-CR401/NTN","LB1,B2(EC101)-CS8/YOG",
,TA15(MA111)-TS7/NSK,"LA10,B14(MA111)-CR301/RSC",TC1(PH112)-TS6/RAV,,TC3(PH112)-TS6/RAV,TB12(GE112)-TS6/NKR,"LA9,B13(CI111)-CR425/NF",,
,TA18(GE112)-TS8/CDN,,TC3(EC101)-TS7/APN,,TA5(CI111)-TS7/AJP,TA8(PH111)-TS7/SND,TA17(EC101)-TS6/GK,TA7(CI111)-TS7/ANM,
,TA2(MA111)-TS10/SG,,TB6(CI111)-TS8/PHP,,TA6(CI111)-TS8/AMT,TA7(PH111)-TS8/MTR,TA5(PH111)-TS7/RKG,TA17 (GE112)-TS8/SWET,
,,TC2(18B11CI111)-TS8/SJA,TA9(MA111)-TS10/SGL,,TG2(MA111)-TS10/PAT,,TA6(PH111)-TS8/NKS,,
,,TC1(EC101)-TS6/APN,TA15(GE112)-TS11/CDN,,,,,,
,,TA15(CI111)-TS7/AJP,TA16(MA111)-TS12/DCS,,,,,,
,"PA5(CI171)-CL13/ALK,KP",,TB9(CI111)-TR424/ANM,,,,,,
,,,TA1(PH111)-TR502/VRT,,PA18(PH171)-/PL2/INC,,,,
,,,TA2(PH111)-TR505/ABH,,PA17(PH171)-PL1/GPK,,,,
,,PB3(PH171)-/PL3/RKG,,,"PA16(CI171)-CL15/GZL,RCA",,"PB4(HS112) CL12/EKS,NF7",,
,,PB4(PH171)-/PL1/MTR/BCJ,,,"PA15(CI171)-CL13/AKM,KM",,PB7(PH171)-/PL3/VRT,,
,"PA6(CI171)-CL15/AMT,AV",,,,"PB1(HS112)-CL12/ YN,NF6",,"PB8(PH171)-/PL2/DIN,ABH",,
,"PB11(EC107)-BEL3/VRN,NF",,"LG1, G2(MA111)-CR325/DCS",,PB3(GE112)-EW1/CDN,,"PB3(HS112)-LL/NIS,NF5",,
,"PC3(HS112) LL/ BB,NF4",,,,"PC1(EC107)-EDC/VRN,VSL",,"PA3(EC107)-EDC/MN,AMR",,
,,,,,"PC2(EC107)-BEL3/ALJ,NHI",,"PA4(EC107)-BEL3/AB,ACH",,
,PB2(GE112)-EW2/MJH,,,,"PB2(HS112)-LL/MB,NF4",,PB5(GE112)-EW1/SNP,,
,PB1(GE112)-EW1/NKR,,,,PB4(GE112)-EW2/SWET,,PB6(GE112)-EW2/MJH,,
,,,,,,,,,
THU,"LA10,B14(PH111)-G2/ANU","LA10,B14(CI111)-G2/MSH","LB5,B6(EC101)-G2/NSH",LUNCH,"LA3,A4(PH111)-G2/MKC","LB1,B2(MA111)-G2/LK","LB3,B4(EC101)-G2/YOG","LA17,A18(PH111)-G2/SDC",
,"LA7,A8(MA111)-G9/MKB","LA7,A8(PH111)-G9/RKD","LG1, G2(MA111)-G9/DCS",,"LB7,B8(CI111)-G9/ASY",,"LB5,B6(MA111)-G9/NSK","LA9,B13(CI111)-G9/NF",
,"LA3,A4(CI111)-FF1/PHP","LA15,A16(MA111)-FF1/HA","LA3,A4(MA111)-FF1/HA",,"LA5,A6(MA111)-FF1/NSK","LA5,A6(CI111)-FF1/KM","LB9,B10(EC101)-FF1/AB","LA5,A6(PH111)-FF1/NG",
,"LB9,B10(PH111)-FF3/INC","LB9,B10(MA111)-FF3/RSC","LB1,B2(PH111)-FF3/DIN",,"LB1,B2(EC101)-FF3/YOG","LA15,A16(CI111)-FF3/GZL","LA17, A18(HS112)-FF3/EKS","LB5,B6(PH111)-FF3/DIN",
,"LA17,A18(CI111)-FF5/SHP","LA17,A18(EC101)-FF5/PRAB","LB9,B10(CI111)-FF5/AST",,"LB3,B4(CI111)-FF5/AST","LB7,B8(EC101)-FF5/NSH","LA5,A6(EC101)-FF5/SMK",,
,"LB11,B12(EC101)-G7/NTN","LB5,B6(CI111)-CR301/ASP",,,TA8(CI111)-TS6/PHP,TG1(MA111)-TS6/SP,,TC2(MA112)-TS7/GA,
,LC(EC101)-FF4/APN,LC(18B11CI111)-CR325/SJA,,,TG1(GE112)-TS7/CDN,TA17(CI111)-TS7/AV,TA10(MA111)-TS7/NS,TA7(MA111)-TS8/MKB,
,TA16(PH111)-TS6/SND,,TC2(PH112)-TS6/RAV,,TA17 (PH111)-TS8/GPK,TB4(CI111)-TS8/ANM,TB14(MA111)-TS8/RSC,TA8(MA111)-TS10/SGL,
,,TA5(EC101)-TS6/ABY,TA1(CI111)-TS7/MSH,,TA18 (PH111)-TS10/NG,TB3(MA111)-TS11/RSC,,TB14(PH111)-TS11/SPP,
